,title,rating,pros,cons
269,"""Don't even consider them""",1.0,SOME people there are good to work with,"Upper management does not care about you
No ability to advance
Pay is below industry average (when all banks gave bonuses to employees Citi was the only bank not to)
Hours are horrendous (sometimes staying until 9pm)
Software causes constant issues
Offshore team is no help"
270,"""Good company""",4.0,Great benefits great environment everyone is very helpful and it’s a fun environment.,Moving up is very hard and you must know someone to get you in.
271,"""Great Pay""",4.0,the company has great pay,it is a political and stressful environment
272,"""Overall evaluation of firm""",4.0,"Diversity, opportunities, benefits, global, volunteer opportunities","Very large firm, uncertainty as to work location"
273,"""I mean, only if you’re desperate for a job""",2.0,"The benefits were pretty hard to beat. If it weren’t for some of the management, it’d be worth staying.","While working there, I was never able to have a good manager. Contacted HR, tried changing shifts, etc. If you have a good manager, the job is bearable at most. There are a couple of excellent managers who anyone could rely on. It’s just a shame you’re forced to contact someone other than your own. Constantly changing systems, so pay checks were never accurate. Worked there 2 years and received raises. Lost them when they put everyone at a solid $15 per hour. Even at $15 an hour, it was sometimes difficult to stay positive when constantly being emotionally abused by customers. I couldn’t count how many times I walked into the bathroom to someone crying. If you can handle mostly awful management and mean customers, it’s the job for you. Oh! Also, they’re super strict about stats. I know someone who was fired for their handletime when all their other stats were perfect. You learn fast if you’re not their favorite."
274,"""Global Firm""",3.0,The pay is great with unlimited overtime.,No team morale and senior management unwilling to give a work live balance. no option have a flexible work schedule
275,"""Citibank personal banker""",3.0,Good benefits. High base pay.,Poor HR. They are useless. Different rules for every single branch.
276,"""Easy but require sales""",3.0,"Chill environment, friendly stuff and easy to operate",Sales pressure and need to be motivated
277,"""Great company""",5.0,Great benefits people and pay,Work is dry and should be more opportunities to do different things
278,"""Leading Private Bank Global Office""",4.0,Collaborative culture. Client Focused. High ethics,big bureauocracy. needs to increase diversity
279,"""N/A""",4.0,Great opportunity to advance career,"Similar to other large banks, you are a cog in the machine"
280,"""Strictly part time""",4.0,"Business hours 
Benefits 
Flexible schedule",If your are part time you will not get more than 20 hours. Other than that great.
281,"""Could have done better""",4.0,"Health Insurance 
Work &amp; Life Balance","Politics 
Unable to grow unless you know the hiring manager"
282,"""Teller""",3.0,"Benefits, possible commission, room for growth","Having to make sales pitch on credit cards and loans, uptight environment"
283,"""Citing Costs""",3.0,Steady work.  Interesting work spaces.  Tech for communication is great!,No recognition/  No retention. Corporate Culture is non-existent
284,"""Great Work Environment""",5.0,Great People To Work With,There are no cons here
285,"""Good place""",5.0,"Benefits, hours, compensation, culture, people",Little opportunity for advancement unless you move departments
286,"""Large Global Company with Broad Opportunity""",4.0,Competitive pay/benefits and nice people,Bureaucratic like most large companies
287,"""Not too shabby""",3.0,Salary is ok. Can male some extra money in incentives.,Slow traffic so they expect you to be a full time telemarketer. Prepared to be micromanaged all the time.
288,"""good company to work with""",5.0,good company to work with,too many people in a team
289,"""No Good""",3.0,Micromanagement is a huge issue,"Great benefits, flexible hours thats it"
290,"""Awesome workplace if you want a good worklife balance""",4.0,"1) Good work life balance
2) Collaborative workplace","1) Works on legacy technologies
2) Less learning curve"
291,"""My two-cents""",3.0,"Benefits, vacation time, and volunteer hours. Most of the time it is a good place to work.","Overworked, understaffed, too many responsibilities, not enough recognition, no one is willing to speak up if there is an issue on a project in fear of retribution from senior leadership."
292,"""Upward mobility based on politics and who you know vs. performance.""",1.0,"Decent benefits
Lots of opportunities to contribute to/volunteer with local philanthropies.","Mandatory schedule changes 
Little to zero work/life balance
Upward mobility is based on politics and who you know vs. performance.
Many promotion opportunities are only available to external hires. 
Managers use quality grading to punish those they dislike
Inconsistent expectations amongst managers as to what constitutes a “good interaction” on a call
Very unhealthy/expensive food options in on campus cafeteria"
293,"""A good company to work for""",4.0,"Lots of challenging work, excellent benefits and 401k match. Lots of opportunities to move around.","For some people the pace of the work or the volume is to much,"
294,"""quick turnover, high pressure, poor procedure heritage""",4.0,"quick turnover, friendly manager and coworkers","poor procedure heritage, high pressure, lack of career development"
295,"""Good company""",4.0,Growth opportunities good benefits something for everyone,Can get lost within organization
296,"""Dedicated""",3.0,"Employees are very engaging and dedicated to their work, they will go above and beyond for the client","Firm is very large, Silos within Lines of Business,  Missing dedicated communication top to bottom and bottom to top.  Meritocracy is not evident in my LOB.  Difficult to move up if you are a realist"
297,"""A good place to start""",3.0,Get to perform jobs outside of your role,Pay increases stall after joining
298,"""Laid Back Culture""",3.0,Good for work-life balance. Bad for ambitious people,Bureaucracy and lack of innovation
299,"""The C in Citi stands for change""",3.0,"Pay
On site amenities (childcare, gym, cafe, clinic)","Micromanaged
Inconsistent work volume 
New department to business, trial and error process"
300,"""A good place to work""",5.0,Good benefits with a welcoming environment for employees,Hours can be long for salaried employees
301,"""Hard work, but good support""",4.0,Mentorship and support as well as opportunity to perform above your role,unnecessary and at many times inefficient work
302,"""Good place to begin career""",3.0,"Generous Health Benefits
Training program
Mentorship
New Facility",You are a nobody and replaceable
303,"""Good Benefits for High Stress""",3.0,Benefits and Pay are almost unbeatable and they give your pto/benefits the first day,The call volume can get very high and unless you can handle a high-stress environment with customers screaming  all day then I would stray away
304,"""Escalations""",3.0,Good pay good culture there,Horrible hours and no room for advancement
305,"""Clients services""",4.0,Platform allows to continuously develop as professional and provides free access to edcuational short time programs,"Stressful job, alot of amount of work, low salary"
306,"""Depends""",3.0,The benefits were really great.,Tied to phones at all times
307,"""Lots of work and overall management trending up""",3.0,Salaries are generally higher than most companies. Plenty to do and opportunities to learn. Flexible working arrangements.,Many are overworked and have to put in extra hours. Compliance driven culture which means you are always in trouble for things that is out of your control.
308,"""Not a great place to work""",2.0,"Blue Chip company, recognizable brand, global reach","Hopelessly bureaucratic, difficult to get a promotion past SVP"
309,"""Genuinely global bank with very talented staff""",4.0,"Large organization, global reach. Very competent staff",Bureaucratic and lots of politics
310,"""Bank teller""",5.0,I want to choose best for my family,Let's see the which challenge comes
311,"""Associate Sales &amp; Tradig""",5.0,"great people, good work environment",large company so not as efficient
312,"""Fantastic Company.  Keep an eye on pay...""",4.0,"Promotes from within
Excellent benefits
Career growth
Solid culture",Not much at all except the pay.  Citi has always been on the lower/lowest end of the current market rates in my area.  If you promote internally expect to make nothing.
313,"""Good Place to Work""",2.0,Flexible hours and great pay,Not enough breaks from the phone
314,"""Great company""",4.0,"Tremendous training programs
Well known everywhere in thz world
Strong brand",Difficult to define where you make a difference
315,"""Technology""",3.0,Great Technology group to work with.,Shrinking business and impacting technology employment.
316,"""Sold the company""",2.0,Citi has a nice benefit package,It was called one main financial
317,"""Citi is just okay.""",4.0,Get to make good friends.,They have no idea what they are doing.
318,"""Overall experience""",3.0,Above average salary and bonus,"Complicated management structure, low transparency to juniors"
319,"""Pretty good company to work for""",5.0,"Flexible, good benefits,  nice work environment","Very bureaucratic, management wasn't transparent"
320,"""Lack of direction""",1.0,"Large organization. Diversity ,work schedule flexibility","Lack of direction from management/ leadership.  Constant outsourcing /offshoring.  Favoritism, age discrimination. Manipulation of employee year end assessment.  Compensation not determined by achievement."
321,"""Citi IBD""",4.0,"Learn a lot, provides opportunities long-term",Long hours and frequently working with inefficient teams
322,"""Great Career""",4.0,"Good benefits, ability to navigate within the company, flexible workplace",Large company with multiple verticals can make things challenging at times
323,"""Great Company""",4.0,Citi is very diversified.  The company is heavily involved in community enrichment programs and encourages their employees to do the same.,The technology at Citi is a bit behind the industry standard.
324,"""Good company! Not many opportunities to grow in South Florida""",4.0,"- Good benefits
- Good network
- Great offices","- No opportunities to grow
- Very hierarchical"
325,"""A great career choice""",5.0,Great benefits from the start.,Too many changes and short time to implement them.
326,"""Working att Citi""",3.0,Great benefits.  Size of organization provides opportunities for advancement.,"Highly bureaucratic.
Long working hours when it comes to management positions.  Company tries to promote a decent work/life balance, but at the end of the day, many units are understaffed or bureaucracy get in the way.
Although cross business collaboration exists.  Units still operate as silos when it comes to taking responsibility for actual implementation of new projects."
327,"""Beware""",1.0,"Not many, cafe and coffee...","LAYOFFS
LIES
Management
Retaliation
PAY
Advance within the company
Removal of comp's remote access- due to mgmt's lack of.....trust (they say, right)
There's much more, but why... just find another company to dedicate your life to...who WILL appreciate your sacrifice.  THIS IS NOT THE ONE!!"
328,"""Stay away""",1.0,"If you love a politically correct culture, this place is for you!
401k matching up to 6%
Lots of banking/corporate holidays","There is no room for professional growth unless you have been here for 20 years, and even then - it is sparse. 

Citi does not value young talent or new ideas being brought to the table. Senior managers are at top positions and do no implement change because of enlarged ego's.

Manager literally lied to my face about not being allowed to take a sick day - even though I gave more than a day notice. If you love lying, you will get to the top. Citi does not value hard work or 'change'.

Their CSR is all smoke and mirrors and for the company to look good in the public's eye - but behind close doors, I have met racist, misogynist, and disrespectful individuals."
329,"""Loved the job itself""",4.0,Got to listen to music and managers were great!,Coworkers were too negative and the morale of the workplace had a lot of tension
330,"""not bad""",4.0,"Big company, good benefits, paid vacation, insurance, many branches","Softwares a little outdated, not much room for growth as teller, no mistakes, account policies for customers can be better, policies for workers dealing with accounts can be better"
331,"""Confusing""",3.0,Loved the company and the job and miss it.,Management not on the  same team. Did not support associates one or two may have known the job and what was expected the others just walked around because of the title with no clue what was going on.
332,"""A must have experience""",4.0,"Learn to work with large teams within a high matrixed environment. 
A global experience. 
Ethical culture of compliance.","Change is slow. The constant environment is always restructuring. Many multi million projects never get finished due to this consequence. 
Must put in the years to move ahead in the firm, specific to the back office for this job market, Its better to jump around and get better pay as long as you are comfortable with change, it’s a good year when you get no bonus and a little above inflation raise."
333,"""Not what it’s described to be""",1.0,It’s an easy job with decent benefits.,They preach about their management and how great and flexible the job is when in reality the management is awful and unwilling to work with employees most of the time.
334,"""Good benefits but long hours""",2.0,Good benefits and some perks to enjoy the city,Banking itself is long hours but should expect more. A lot of bureaucracy and school favoritism.
335,"""Decent perks""",3.0,"large company, good people, HQ is amazing, base comp is decent, 3 weeks vacation","politics, not as much room for growth"
336,"""Good company to work for""",4.0,Company is very employee oriented,Collections department is very difficult
337,"""Awful work life balance for okay exit opps""",2.0,"Standard investment banking pros. Good modeling training, great analyst colleagues, good exit opportunities depending on which group you're in.",Truly awful work life balance. Associates are almost all post-MBA with minimal internal promotion. The A2A kids are the ones who couldn't find a job anywhere else. Citi has mindless policies that result in a lot of asking other teams for help that delays getting pitches / deals done. Deal flow has gone down as boutiques poach the best managing directors.
338,"""Too much bureaucracy""",2.0,Flexible work arrangements.  Generous leave and benefits.  Good training ground to learn the business and then move on to greener pastures.,Bonus and base salaries are the lowest amongst the top 5 global bank. Need to navigate bureaucracy and lack of opportunities to advance your career.  Internal mobility is a misnomer if you cannot find someone to recommend you to the hiring manager which is impossible as you don't know who the hiring manager is.
339,"""Great Company!""",4.0,"Work/life balance was phenomenal. I went to law school when  I worked at Citi and they were very accommodating with my schedule.

Lots of room for growth. 

Great coworkers!",No salary increase  after 4 years.
340,"""Customer Service behavioral-based interviewing process""",2.0,Proof that behavioral-based interviews are not as an effective tool.,"Hiring human beings for a job is not about exact science, but more about human interaction."
341,"""Working for Citi""",4.0,Relaxed company. Great Pay. Great benefits,Little unorganized. Systems are outdated. Raises are awful.
342,"""Typical Commercial""",4.0,"Great hours, benefits , room to grow easy to make commission  if it in the right area","Horrible systems, be more specific on your policy’s process"
343,"""Big company bureaucracy""",3.0,"Pay is decent, benefits are good, company is environmentally conscious",Offshoring much IT develoment to India.  End of year evaluations follow a forced-ranking which is demoralizing to employees.  Bonuses are highly weighted to senior management
344,"""benefit""",3.0,Global bulge bracket firm training,large firm with lots of layers
345,"""Internal Audit Analyst""",5.0,"Good hours, good pay, great people",I love everything about it!
346,"""A Strong Start""",5.0,Ability to work on all sides of banking using any language,Experience highly constrained to manager
347,"""Great Place to Work!!""",4.0,"This company has Good Benefits, Nice Environment, and Great Flexibility",Career Mobility can get a little tricky
348,"""A typical big bank in many ways""",1.0,You will be working amongst awesome international retail associates and clients. They will enrich your views about the world outside of U.S . It has been a previlige to meet them.,"Very little support from the back office which are mostly located overseas. You will not be able to call them to get clarifications. When things become challenging, you will be left on your own to deal with angry clients who are constantly screwed over by the back office. Your sales efforts are constantly captured incorrectly which require constant follow up. Upper management sits around collects big paychecks and does not care about associates real feedback on what needs to be improved. You are pressure to meet goals that are unreal and expect to be set up to fail. They will make stuff up to throw you under the bus to save themselves from any liablities."
349,"""Good Experience so far""",5.0,"It’s good and relaxed environment. With a good work life balance.
You can communicate with manager freely and decide to work on any technology like iOS, Android, Angular or Microservices","If you are an immigrant, then the green card application process is very slow. You need to wait until 5th year of your H1B."
350,"""Good Experience so far""",5.0,"It’s good and relaxed environment. With a good work life balance.
You can communicate with manager freely and decide to work on any technology like iOS, Android, Angular or Microservices","If you are an immigrant, then the green card application process is very slow. You need to wait until 5th year of your H1B."
351,"""Great team, very demanding workload.""",3.0,"Great team, great pay. EA's are non-exempt so bug plus bc you WILL be working OT.","Very demanding, high energy, high stress..."
352,"""Company is great, but the pay not so much""",3.0,"Benefits were good
Team Oriented
Work Life balance","Pay is below the average for a business analyst 
Upper management will stick together and they like who they like.
They do layoffs which seems like every quarter and they hire new people.  
The projects change almost daily and it's hard to learn or be on a steady schedule"
353,"""Great working place""",5.0,"Collaboration, diversity, inclusion, good work-life balance",No cons are currently available.
354,"""Excellent benefits""",4.0,"Long paid maternity &amp; paternity leave, health insurance, eye insurance, time off. Good disability benefits. LGBTQ+ friendly. Gym on site for cheap.","Results/metrics matter more than anything, as it is a bank."
355,"""Collections Specialist""",3.0,"Great culture, many on-site activities, good health benefits, helpful if something related to health concerns comes up with leave benefits","poor management, lack of communication, no stability on bonuses"
356,"""Don't be a PM here""",2.0,"Global institution, recovering from recession","Not considered a real place to be a PM, hard to find similar work elsewhere"
357,"""Citi Mortgage Business""",2.0,Lots of opportunity to fix problems,Huge downsizing due to the sale of mortgage servicing
358,"""Fast paced, highly pressured sales with minimal staffing to achieve multiple goals""",2.0,"Products, co-workers, clients, benifits, discounts for employees","Pressure filled work environment, difficult back office experience, insufficient staffing"
359,"""Good company but it is what you make of it""",4.0,Good opportunities if you are willing to relocate.  Home office location has been refurbished and modernized.,A lot changes are occurring but that is standard industry wide.
360,"""Terrible""",2.0,"Good Benefits, Can't really say much about management as it was awful",Terrible comp compared to the market
361,"""great benefits""",4.0,"great benefits options for medical and dental
culture 
pay
bonus potential","hard to get shift changed
no part time
constantly changing bonus structure"
362,"""Back out positions leaving NYC""",4.0,Great company overall to work for and great personal to work live balance.,"Job Security if working in the NYC area since ops, finance and technology positions leaving the NYC area to lost cost areas list Mumbai, Costa Rica, Buffalo and Tamps."
363,"""Great place to work""",5.0,"- great learning opportunities and training
- smart colleagues
- good benefits",- big place to navigate
364,"""you are on your own""",3.0,Management don't care much as long as no one complain,one small mistake can get to get fired
365,"""Don't work here""",1.0,"VTO, that's it, none, none, none, none","They will make you work 10 hours shifts, if the company messes up, no one is going home, ot is is always since they mess up so much.  Customers are rude, you can't put flags against them, over flow is an issue, UM's not responding and having to reach out to their boss. Don't understand family issues. Don't work here."
366,"""Top bulge bracket bank""",4.0,"Will learn a lot.  Very smart and talented people, very strong senior bankers.",Long work hours. A lot of bureaucracy.
367,"""citi review""",4.0,good benefits and you have an opportunity to work with talented people,opportunities for growth are sometimes lacking
368,"""Too Heirarchial""",3.0,Technologically advanced and great exposure to lot of different segments,"Title dominance, less transparency between the levels"
369,"""average salary""",4.0,Flexibility and work life balance,High pressure environment and highly demanding management
370,"""I was happy there for the most part but then the micromanagement was a bit to much for me""",4.0,The Benefits were always good,Month end hours and upper mgmt
371,"""One of the most awesome jobs for starting.""",4.0,"-Best Coworkers
-Great Area in NYC
-Get to meet more people
-Overtime pays very well","-Pay should be higher
-Rude clients should not bank here anymore
-Company should have more dinners/hangout together
-Should get more vacation days"
372,"""Going Byebye""",3.0,For a call center the atmosphere as for the most part be pretty laid back. Many events to try and get moral up and going.,"The company is getting out of the business of supporting mortgages post-sale.  The partner company Cenlar is taking over this role.  As a result, this an other offices have been having ongoing layoffs for the past year an a half. 

Databases and programs are also very outdated."
373,"""good place to work""",3.0,"nice employee benefits, good work life balance","slow moving, too many layers. too big"
374,"""Exciting global Company""",4.0,Immense opportunities.  Wonderfully diverse employees.  Global firm.  Changing rapidly.  On forefront of financial services and technology.,"Financial services has been under immense pressure from low rates and regulations, so all banks are pursuing ongoing cost cutting initiatives at all times.  Can be discouraging."
375,"""Solid foundation for career""",4.0,"Good opportunities &amp; rewards for efforts, solid management &amp; franchise","Often times very bureaucratic &amp; decisions can be dominated by internal politics, which can impede on accomplishing tasks/goals"
376,"""Former IT  Manager Full time""",3.0,"Vacation plan, career  growth opportunities","No Work Life Balance,  Politics"
377,"""Change is Constant""",3.0,"Ability to work remote, good benefits, fair compensation",Constant downsizing even though the company is making billions
378,"""Chaotic children""",1.0,Allowed to wear earbuds during work hours.,There was nothing good ago it this job. It was overall the weirdest most unorganized bunch of kids running the show.
379,"""Sectors in Citi""",3.0,Markets is the most influential thing in CITI whether your part of technical  or investor.,Moderate growth on CATE and CTI
380,"""Good place to work fast paced""",4.0,"Fast paced, and a nice environment lost of opportunity to advance",You are expected to learn on both company time and your time
381,"""It's okay.""",3.0,"Offers some pretty good benefits (Medical, dental, etc) and pay I believe is fair. Has some extra groups you can get involved in. Pretty good people around you co worker wise, not manager wise. I did make a lot of friends there. Security on site, pretty relaxed dress code.","Managers can be unfair and can do a lot of things against policy. Very harsh when beginning. Not the best food in cafeteria. Training will tell you one thing when it's really another. Force you to go to ""town hall meetings"" on your break, or you don't go at all. Horrible shifts for starters (mine was 11:30-10 my entire time) When you bring up ideas for the groups you can join, I did a red friday for military idea, it was never brought up. But when I left they basically stole my idea and went on with it."
382,"""Good one""",3.0,People are really helpful,Not able to do work from home
383,"""employee""",3.0,smart casual work environment is nice,"work life balance, very few young adults"
384,"""Frustrating.""",2.0,401k match is very generous,HR and IT systems are very tough to deal with.
385,"""Citi""",3.0,High level of bureaucracy can be very frustrating.,Very generous paid time off.
386,"""awesome""",5.0,everything was great i love it,nothing was wrong with this place
387,"""Good for short term""",2.0,"High impact projects
Opportunity for growth","Very process heavy
No perks
Office needs upgrade
No in house cafeteria"
388,"""Global company with global opportunities""",5.0,Opportunity to relocate internationally,Competition from international workforce
389,"""Great environment in AML""",4.0,"Great people to work with for the most part
Huge organization that needs every different kind of skill","AML is a cost-center and there are constant attempts to reduce cost through automation, job elimination, etc."
390,"""Good Company""",4.0,"Benefits, decent pay, off weekends","The shift, the long walk into the building"
391,"""It could always be worse""",3.0,"Vacation time &amp; PTO, good health/dental/vision benefits, decent internal perks like gift cards for completing health challenges. One of the biggest benefits is a flexible/remote schedule that allows a lot of opportunities to work from home. 

Overall there's a lot of great people here &amp; most of them will go out of their way to help you if you're looking to learn &amp; not just being lazy. It's a great place to learn, expand your network (if you're willing to put in the time) and gather experience.","The proverbial red tape is endless. With a company this size it stands to reason, but it can be EXTREMELY difficult to make progress, conclude decisions or get agreements. Teams can be somewhat fragmented, in that team building events may be plentiful for one group &amp; non-existent for another, even if they're in the same reporting hierarchy. 

Some reviews rave about the work/life balance here, but that varies heavily by what team you're on. Anything AML is out of control, especially in North America driving projects. It's not atypical to be expected to drive projects like a PM while getting paid like a junior analyst."
392,"""Could have been better.""",3.0,They provide and require a tremendous amount of Paid training.,"My coworkers. 
Constant pressure to sell more credit cards."
393,"""It wasn’t what I hoped.""",2.0,Time off and pay were,Literally everything else was bad
394,"""Great people and benefits""",4.0,"Great work/life balance
Great benefits
Growth opportunities",Never feel confident that your job will stay
395,"""Nice benefits""",4.0,"Great benefits, not a lot of companies offer such extensive benefit packages. huge pro. Good work life balance too, great PTO",extremely difficult to achieve any sort of vertical movement within the company
396,"""Good company""",4.0,"Great Management 
Great Facility 
Career Growth",Work life balance is not the best
397,"""Better than most""",4.0,Great vacation time and competitive 401K matching contribution.,"Bureaucratic, slow growing and low margin, which translates into low salaries.  High cost of health insurance to employees."
398,"""Good People - Constant Fear of Layoffs""",3.0,My group had a lot of flexibility in work hours and working remotely,There was always a constant fear of being laid off
399,"""Great place for beginners""",2.0,"Great resources, analysis and research available. Great pipelines and unlimited clients to contact. Easy to obtain new business. Lack of organization, process, procedures which hinder sales. Overly complicated.",Too big. Their stated vision is one thing and their actions are a whole different story. The current compensation plan and layout causes too much internal conflict.
400,"""Vp""",1.0,"Good salary base. Satellite location without too much attention from NYC, so be relax. You will get a quite day and being ignored.","1. The entire risk team is filled with Indians, relationship hiring is the worst. You will easily get mistreated if you are not Indian- no opportunity for quality work, no exposure. If you happen to have an Indian manager, be super careful, they are haunting you through messages, phone calls to your PERSONAL phone!! At 10pm!

2. Reorg is happening based on management ‘s hype of making their own preferences, completely nonsense at all!
3. The entire management style is designed for Indians, flattering to people higher hierarchy, and they act like superior.
4. No clear layout for policy documents, knowledge is shared through mouth."
401,"""Great Employer Once You Train Yourself""",4.0,"Zero micromanagement, work from home, work your own pace, amazing benefits","Believe it or not, zero micromanagement can be a con too. No structure and zero help."
402,"""Credit &amp; Portfolio Senior Analyst""",4.0,Global opportunity with room to move up.,Large company with low visibility of your impact.
403,"""Good place to work""",4.0,"Good salary, good benefits , worldwide offices, established financial firm","Secretive management , internal competition , lack of spending on needs"
404,"""Good""",4.0,"-work life balance
- competitive salary","- slow growth
- politics
- improper training"
405,"""Good place to learn, but not good for the long haul""",2.0,"Citi has fairly sound governance and policies, great place to learn","Lots of turnover in the C-suite since late 2018 and new management is committed to a strategy focused on expense reductions.  Telework is disappearing, as too many layers of substandard management value employee presence more than work.  Internal mobility is non-existent."
406,"""Assistant branch manager""",4.0,Referral from a current employee,Too busy to get any work done
407,"""Citi review""",3.0,"Working from home
College are very knowledgeable",Management feeling people at there position over 10 years are lazy
408,"""Good organization to gain banking experience.""",4.0,"Citigroup takes care of its employees with great benefits, great perks, and a competitive salary.",Lack of career advancement opportunities.
409,"""Just do your job""",4.0,"Benefits, quarterly events, food days, room for growth if you play well with others","No job security at the moment, lack of recognition for achievements by upper management, communication is lacking"
410,"""Great people but constant system changes""",3.0,Great people to work with!,limited opportunities for promotions and growth
411,"""Benefits""",3.0,"Benefits, work balance, 401k, health, flexbility",It is difficult to grow in the bank
412,"""politicized research department""",2.0,name recognition. some good analysts,management is tolerating a lot of mediocre analysts who don't care or don't know how to manage employees. very few opportunities to move around
413,"""Great company to work for""",5.0,I had an excellent manager and my coworkers were the best I’ve ever worked with.,"Upper management said they were transparent with information about the business decision to stop servicing loans, but I do not believe this was true."
414,"""Mediocre pay""",2.0,"Very good oriented, had lots of potlucks",Don’t close for major holidays. Only mediocre pay
415,"""Exercise Caution""",3.0,"Benefits, 401k, PTO, Large, Well-known","Work/Life Balance, Management, Culture, Commute, Career Opportunities"
416,"""Great Company""",5.0,Work life balance management was awesome,No cons loved job very much
417,"""Great Company to Work For""",5.0,"Fast paced, and great place to develop technical skills",lack of exposure and leadership opportunities
418,"""difficult environment""",2.0,good benefits package &amp; flexible scheulde,"political, business is mature and struggling to grow"
419,"""Ops Manager""",3.0,Large company with a lot of opportunities,Departments don't work with each other. Not a team environment.
420,"""Ops Manager""",3.0,Large company with a lot of opportunities,Departments don't work with each other. Not a team environment.
421,"""Potential to make money""",3.0,Overtime hours can earn you an easy extra $10k a year,Work/Life Balance is scarce.
422,"""Below Market Compensation""",1.0,Paychecks arrive on time. I guess that's a pro.,"The compensation here is very low compared to other financial firms. Lateral moves do not come with any salary increase even if the new role is more demanding and in a more expensive location (like NYC), and internal moves with a promotion do not include salary adjustments that meet market rates (again, even if moving to a new location like NYC). I've had now 4 internal Citi recruiters tell me that this is unwritten policy at Citi. This is probably why there is so much turnover here."
423,"""7""",4.0,Great work life balance for sure,Not always opportunity to advance
424,"""Ok place to work""",3.0,Lots of opportunities at this company,Pay is middle of the road
425,"""STAY AWAY""",1.0,"Great place to work for 40 years and retire. If you like slacking and politics, this is the place for you!!!","If you are a developer or somewhat technical, stay away. It's impossible to get development done.  They just buy vendor products and hire people to keep them running. Mostly contractors. 

We had to rewrite an application we spent 2 years building in a different tech stack because our new manager ""didn't like the language"" it was dotnet core and he wanted it into python cause he read stuff about it.

They don't give you the tools, software, hardware, anything. 

Everything is a fight. 

Real CI/CD is non-existent."
426,"""No Social Responsibility to Workers""",2.0,Pay; benefits; coworkers; off-site events,Reduced 30% of workers while passing the work to an already stretched thin team in addition to off-shoring the rest of the work.
427,"""Good benefits but no sense of personal development or value""",3.0,"Working at Citi looks great on a resume and offers some excellent exposure to global opportunity and corporate experience. Benefits are strong and compensation is good -- if this is all you care about, might be the place for you. However, if you're looking to be valued as an individual and an environment where you can wake up enjoying going into work every day, look somewhere else.",Way too corporate. Everyone takes themselves and the work way too seriously. Rude emails on the daily are to be expected.
428,"""Constant changes in management and always layoffs""",3.0,"Colleagues are nice, work is challenging",constant management changes and layoffs
429,"""Collections""",3.0,Location and employees were great to work with,A lot of favoritism and no advancement
430,"""Cross Training""",4.0,Opportunity to learn different tasks,Little or no training
431,"""Okay job""",3.0,At least you get Sunday’s off,6 percent match on 401k
432,"""Not bad""",3.0,Small office and a good team,Stressful and a hard environment
433,"""Good company to learn and grow""",5.0,"Challenging projects, smart people, have opportunities to learn and develop",Work and life are not balanced
434,"""Just a place to work for right now""",1.0,"Steady Hours Full-time, benefits are good as well","They offer bonus but don't plan on getting it your better off thinking you will never get a bonus so when you get a bonus it feels good, because when you think you might bonus they might fail you on a call.  Also they could careless about tenure employees, they would give the good shifts to the new employees first rather then the old employees. Split days off so forget about it if you have a family.  Only work for Citi if you can start as a Supervisor or Trainer not worth the stress as a regular agent."
435,""".""",4.0,"Friendly environment
Work from home capabilities","Low pay
No ability to move
No career path"
436,"""They pay you well to keep you there...""",2.0,They pay well. Nice campus. Very clean. Very corporate. Good benefits.,People in suits with little understanding of the technology they hire out for. Too many urgent fire drills keeping you working longer hours than necessary. Then you find that the fire drill was either brushed aside or defunded. Then on to the next one. You can work here for years under bad management and come out with little to nothing to show for your efforts but your paychecks. Much competition on the SVP level due to .org restructuring so cross your fingers that your bosses are in good with the higher ups.
437,"""Too big""",2.0,There are plenty of Job opportunities,Too big of a company to be noticed and advance.
438,"""Excellent company to work for !""",4.0,"Great Benefits , lots of business opportunities",Just as any large company
439,"""Ethical""",4.0,"Citi has been an extremely ethical bank to work for, with great benefits, flexible work, and good vacation time.","Lots of pressure and high stress.  Constant emphasis on cutting expenses, without any commitment to reducing work load.  Company is ethical and follows the rules, even when compliance is not intelligent or makes no sense."
440,"""Pros and Cons""",3.0,"Great environment, onsite childcare center, strong rewards and recognition program, promote from within, multiple departments, career development","Lack of diversity within leadership, resistant to positive change and younger work force, HR does not adequately handle workplace concerns, it is easy to find yourself ""black listed"""
441,"""Excellent Workplace""",5.0,"Challenging Work, Excellent Work Environment",Too much focus on Diversity
442,"""Good organization to learn""",4.0,Exposure to several technology solutions and challenging problems to solve.,Very large company with a lot of matrix relationships
443,"""IT Industry working in citigroup""",2.0,"Salary, team, Location, technology, 401K","No Bonus
Health benefit start after you pat 500
Not much holidays
hectic work environment
Dirty office"
444,"""OK""",3.0,"Stable, and good work life balance",pay is little bit too low
445,"""nice company""",5.0,It is a very nice large company,I have nothing negative to say
446,"""Great company""",4.0,"Great Staff and
Work culture",Hourly pay was on low side
447,"""Good Salary""",3.0,"Good Salary, hours are flexible, benefits are good","systems are so behind, company not proper manage"
448,"""If you need a job""",2.0,Its a job. That's about it,Benefits are sub par. Bonus opportunities for a select few. Pay  could be better.  They actually monitor your time away from your desk.
449,"""Collections Unit Manager""",5.0,"Professional environment, highly competitive salary with potential for bonus, invest in employees and promotes from within.","Difficult starting shift hours (5am local time), constant threat of reduction on staff, communication great at local level, not so much on a national level."
