,Unnamed: 0.1,title,rating,pros,cons,company
315,315,interviewing,5.0,i love the multicultural and diverse environment,i do not have any to mention at this time,Booking.com
316,316,accommodation service executive,1.0,bonuses every quarter on average 400 after taxes.,terrible company. you are expected to take call after call and listen to complaints all day and have no tools to resolve the issues. it makes you feel terrible knowing that the caller needs help right away and you cant help them at all. you have your lunch and two breaks and if you need to use the restroom any other time too bad. dont work here the yearly trip to amsterdam is not worth especially because you are there working. its not a vacation as they make it sound.,Booking.com
317,317,wonderful environment,4.0,everyone is friendly and willing to help you as an intern. your goal is there to learn and that is exactly what they want you to do. everything is provided and your work is usually split between you and another fulltimer.,there are some people who have a very radical way of thinking when it comes to what is appropriate for work conversation. unfortunately nothing can really be done about the situation even if they were talked to. the company is growing and sometimes your ability to work out weighs your affect on the workplace.,Booking.com
318,318,love this company,5.0,great friendly environment. booking.com is a company that truly cares about their employees. after the 6.12.16 tragedy in orlando booking team members from all parts of the world joined together in solidarity and the management team did whatever they could to support the staff. we are a company built on giving and receiving feedback and really using it to help us grow. there are always the one offs who arent happy but those people will never be happy anywhere. this is a company that truly cares pays well and is growing year over year while still making sure the entry level employees are heard and the customer is the focus in all things we do booking gets involved in the community as well. i have been in call centers for many years and can say without a doubt that booking is one of a kind and a great place to build or continue your career,not really a con per say but with growth comes change so we are going through a lot of change. anyone wishing to work here needs to be open to change.,Booking.com
319,319,great company very new.,5.0,benefits are great great people nice and happy atmosphere. company cares about their employees,career growth is very limited.,Booking.com
320,320,bookin.com is a great place to work,4.0,benefits are some of the most competitive in the market and i have worked for several major employers team members are provided with free fruit catered lunches annual trips to amsterdam and a senior management team that surveys and takes time to listen to the employees and implements change. the work stations are truly ergonomic and allow for employees to work in standing positions as well.,i personally can not think of one downside i am respected and paid for work done. yes i would love to make more money however this is the deal i signed up for and b.com has held up their end of the deal. there is a lot to manage and some of the floor supervisor expectations should be automated. at times it is a challenge to get everything done.,Booking.com
321,321,very motivating,5.0,great environment friendly great workplace good salary good training,no complaints so far it is perfect.,Booking.com
322,322,not for 35  over business professionals,2.0,domestic  global travel annual christmas gifts. candidates spend 1 to years max here for a resume builder then move on it will be better for you and for the company as usually around 3 years employee dissatisfaction kicks in at an alarming pace.,unqualified managers who lack business acumen  professionalism in dressing a try to bully mgmt style  so college grads consult your parents or mentors on hr rules for your state when accepting this role no management support and aggressive quotas based on unrealistic job objectives  not for seasoned sales professionals. if your are an inspiring entrepreneur this opportunity will reinforce why you will go into business for yourself. if you are a corporate fanatic this opportunity will better hone down the culture and environment best suited for corporate upward mobility as this company does not believe in that. applicants who are in their youth be very discerning when working here. they do not pay for talents so offering your gifts and showcasing them here gets you more work with fake titles that do not in anyway translate into an outside company. there is not an area manager who worked for this organization that is an area manager at another company or even a senior manager as they are only qualified for this role in this culture not in another company.,Booking.com
323,323,csr,3.0,lots of perks and free stuff. daily free fruit and other foods. great team environment.,scheduling is horrible often stuck for 6mo or longer.,Booking.com
324,324,great travelling experience,4.0,its a worldwide company therefore you could apply to other offices around the world,the professional growth options can often mean you needing to relocate to another country. at times local offices are too small for promotions.,Booking.com
325,325,if youre young and not into money its fun for a while.,2.0,i made some good friends going to amsterdam for training is fun once or twice  then its not fun and certainly not worth sacrificing a lot of money  which youre likely giving up by working here. traveling is cool and if you have a desirable territory its really cool for a while. if you do not itll be a challenge but try to make the best of it. i do credit booking.com with teaching me a lot  running successful meetings selling upselling managing accounts  i achieved all of this and i appreciate that.,this is a mediocre place to work and itll never be more. however much they preach the importance of the ees employee engagement survey the company will not change in order to boost morale. the company gets very mediocre scores on the survey each year employees on average rate it a 710 or so but when it comes to compensation the company gets murdered as it should. management will act surprised and send out an email stating theyre going to do market research to determine the average that someone with the title account manager makes and then you may get a 200 per year raise wow nice or youll never hear about it again. despite darren huston now the former ceo claiming we have millions of dollars in the bank and also having enough for countless acquisitions somehow the company cant afford to pay a decent wage in some of the most expensive cities in the us. year after year youll hear outlandish claims like booking.com wants to be the best place in the world to work. the problem is that becoming the best in anything school sports any profession etc. takes investment. it takes time money effort etc. booking.com literally changes nothing despite claiming this every year. its offensive and sad. the pay is disastrous and quite embarrassing actually. a market manager at booking.coms biggest competitor expedia makes more than an area manager at booking.com and an area manager manages a team of people managers who manage market managers. each year forbes releases a list of the average starting salary for recent college grads in major us cities  its very sad but this list often times proves that new college grads  21 22 year olds make more than an account manager at booking.com after 5 years. an am of 5 years gets an annual merit increase of about 5001k per year  thats 12 and doesnt quite cover the cost of inflation  for you econ majors. lastly  despite what a recruiter might tell you the bonus potential is absolutely poor. if you hit 110 to target every single quarter your total bonus amount will equal close to 6000  thats annual  not every 3 months. i know this because its happened. 6000 might actually be generous too.,Booking.com
326,326,not worth for me,3.0,a cool place to work beautiful office. paid training for one month. free trip to amsterdam after one year of employment.,mandatory extra hours during busy seasons. no perspective to grow as an employee. not a challenging job. poor senior managment.,Booking.com
327,327,ap accountant,4.0,culture work environment work life balance colleagues really work together big on innovation constantly finding ways to work more efficiently to get things done,salary if youre not willing for change this co is not for you,Booking.com
328,328,customer service,3.0,yearly gift from the company,very loud enviroment people talking over each other. there are no cubicles there. a lot of favortism towards certain groups or people. very number driven. stressful job for the pay you get.,Booking.com
329,329,i did love it once,2.0,free food in the office you will need it because the pay is so low trips to amsterdam good health insurance,bullying managers meetings upon meetings unrealistic expectations you guessed it low low pay,Booking.com
330,330,bookingsuite beware,2.0,fellow employees are wonderful always good snacks,needlessly stressful and ever changing atmosphere longterm low morale poor pay diminishing benefits obfuscated leadership... there is nothing to be passionate about at bookingsuite.,Booking.com
331,331,customer service,5.0,working ups season nice job but just par time,if better bring you 30 olr 40 hours,Booking.com
332,332,cool opportunities bad day to day,3.0,free trip to amsterdam stock options that are worth something large scale lots of trainings interesting problems leader in their space.,perl. giant unmanageable code base. lots of beauracracy and lots of denial. under average pay. not enough testers or test infrastructure.,Booking.com
333,333,great culture great people growing fast,4.0,flexible schedule great managers nice people multicultural travel gym coffee fruit for free monthly happy hour events fast pace  lots of change,limited opportunitys because its just credit control and customer service very little exposure to senior leadership time zone difference from headquarters in amsterdam,Booking.com
334,334,customer service executiveenglish,5.0,this is a great company and atmosphere,i have not had any yet.,Booking.com
335,335,good corporate company,4.0,does a good job of promoting company culture tries to be fun and has a young energetic vibe to certain aspects of management. i think the company does a decent job of promoting a positive call center environment however the nature of call center work itself can be tedious at times. good training effective team leadership.,as a customer service executive pay is low and productivity requirements are rather high. schedules are not very flexible. transparency about fulltime benefits and schedules lacked until formal entry training was complete.,Booking.com
336,336,customer service representative,5.0,great environment that is now more flexible and offers lots of perks. it feels like family. great benefits and can offer opportunities to move up.,at this moment the pay isnt great yet.,Booking.com
337,337,great company to work for be ready for change,4.0,booking.com is an amazing company to work for the culture is great and the benefits you get from working here are pretty decent as well. they may not be the best payers out there when it comes to salary but there are other things to compensate. if you are dedicated and your work stands out theres plenty of room to grow. be ready and the opportunities will come,be prepared for change. booking.com is still growing and everything changes all the time usually without notice. from people to processes so if you dont like fast pace and a lot of change this is not the place for you,Booking.com
338,338,bilingual customer service,4.0,good training helpful mentors and team leads good environment. the pay is alright you make 75 cents more per hour per language you speak effectively. if you work hard they will appreciate you and everything will go pretty well.,you are micromanged. they will watch everything you do. some people cant handle it. also the schedule is not very flexible,Booking.com
339,339,management is the worst...,3.0,fun company party in amsterdam once a year... but thats about it.,management is a nightmare. people are promoted based on how long theyve been at the company. it doesnt matter how hard you work or how good you are at your job if youre not sucking up or increasing your visibility it doesnt matter. people who have questionable work ethics get promoted to management and it really unmotivates everyone. also raises are a joke... you get a 1 increase every year. salary is not negotiable either.,Booking.com
340,340,cse,3.0,multicultural fun working environment plenty of different turns to choose tv ping pong table fresh fruit available for free everyday partially subsided food trips to amsterdam cool gifts nice health insurance.,payment per hour is still in the low side. the feeling that people are watching what you do all the time. the metrics given so much importance and interfering in some cases with good customer service.,Booking.com
341,341,cse bellevue wa,3.0,responsive hr benefits team generous incentive pay. collaborative environment that fosters a team forward attitude. coworkers provide good support to one another as so seniors,a small minority of the tls who actually started out as cses treat the cses as undeserving of respect and carry themselves with a misplaced air of superiority a total morale killer. conflicts with the culture this company is trying to promote.,Booking.com
342,342,cse,5.0,love the great atmosphere and bright people. you can tell at first sight this company really cares employees. unique but very informational interview process.,working hours can be a little challenge depending on the region you work for.,Booking.com
343,343,mess,1.0,yearly trip to amsterdam global network of colleagues excitingfun industry travel,hr is unhelpful and untrustworthy. company has lots of young inexperienced hires and blanket everyones treatment regardless of previous work experience. im all about change and testing new ways of doing things but this company like change for change sake without rhyme reason or waiting to analyze results before moving onto the next. management is a joke and senior leadership keeps everything close to the chest and communication is horrible. the pay is insulting and the 12 raises are laughable at best. feeling valued or like you make a difference here is hard to come by. there is little or no opportunity if you are in any other office besides the amsterdam hq.,Booking.com
344,344,good place for work,5.0,i working in company just 1 year. but i really like it. of couse there are some minuses but they will be on each work.,too much worries about numbers,Booking.com
345,345,great company,5.0,integrity opportunities available for motivated employees fun atmosphere amazing trips to amsterdam regular training. free food. beautiful office not your regular call center. working with people from all over the world. building lasting friendships with colleagues. relative transparency about company goals and results. a great company that really walks the talk.,wages not competitive as far as i am concerned this is the only area that can be improved. reinstating the dna training would also be good,Booking.com
346,346,decent place to work,3.0,overall its not a bad place to work. theres a lot of travel usually and some perks like monthly free lunches and happy hour. it tries to be like a startup but falls short. its good experience,low compensation management is usually very young and not necessarily well trained.,Booking.com
347,347,ok,3.0,nice events and company party,bad management they dont care about people,Booking.com
348,348,customer service executive,4.0,when it comes to cs in the service industry hotels  other accommodations booking.com is a good choice. the job itself can get taxing after a while but there are no scripts to read from and no one breathing down your neck. its a teambased atmosphere where the job of everyone above you is to help you succeed.,its a customer service job. people will call you while in a bad mood or will want to tell you their life story cutting into your productivity.,Booking.com
349,349,company going under major restructuring,2.0,yearly trip to amsterdam but only after youve worked there for 1 years. do not believe that you will go to amsterdam the same year that youve been hired. some great team leads.,not good at training internal employees. not good at promoting from within. management has standard call center mentality. they dont care if you quit or not as long as you stay past 6 months.,Booking.com
350,350,customer service,3.0,diversity gym food people,a lot of stress easy to loose job,Booking.com
351,351,great company overall,4.0,the company enjoys investing in their employees,it can be extremely difficult to move up or be promoted internally,Booking.com
352,352,salesaccount management,4.0,people are amazing to work with monthly perks and events to stay motivated.,limited job growth slow to see changes in process improvements or innovations.,Booking.com
353,353,little direction from senior managers,3.0,friendly place to work growing company creative products and,goals are often unrealistic and there are factors outside of employees control that can impact them. salary is low compared to similar roles in same industry senior managers can do a better job of supporting and escalating issues internally to solve problems. there is a ceiling to growth as there are not many opportunities to move up unless people move or leave.,Booking.com
354,354,needs to stop throwing free goodies at employees and just listen to them instead. used to be a great place to work.,1.0,bonus every quarter if you meet requirements which has changed a lot free coffee tea and fruit good health dental and vision insurance.,salary is not competitive and is actually less than most call centers. the company has grown a lot the past year and management has not handled it well. people that have been working there for years have been screwed over for promotions as they keep bringing in underqualified people from outside of the company. you really have no voice there if you are just an agent or anything else really. their demands have changed a lot and they often talk about how our voice matters and ladida but its really all talk. it used to be a great place to work and you really felt a sense of belonging. but now it is a struggle just to get through the day  especially when your supervisor came from outside the company and knows nothing about the work you do that they are supposed to be supervising. keep in mind that i worked at the grand rapids mi office. i watched the company change a lot over the last few years and the grand rapids office is definitely seen as the ugly cousin of all of the other offices now. procedures are not the same in all offices worldwide so you are often left cleaning up other peoples laziness. it is quite sad because the company used to be so great and still has so much potential but the leaders are just playing a guessing game at what works best  there is no actual thought process. so many people have been forced out the past year  it is insane. you cannot go one work week without hearing another person got let go. its really quite sad. my opinion  they need to stop giving out all of the free stuff to their employees and just listen to them it would probably be a cheaper option than to bribe them with all of these gifts and goodies.,Booking.com
355,355,fun company,5.0,it was a fun company to work for and i really enjoyed it.,the commute from my house was too far.,Booking.com
356,356,customer service executive,5.0,i used to work for booking.com through manpower hiring company.,it was a great environment to work at. i really wish to go back.,Booking.com
357,357,cse,5.0,good compensation flixable schedule 12 paid days off a year paid vacation to one of the most amazing cities all over the world amsterdam bam and the company really care about the employees.,not offering part time jobs for the people who need to study beside there jobs.,Booking.com
358,358,amazing place,5.0,they care about their people also the work is very challenging the culture is great,not a technical company but they care a lot about code quality and performance also seattle is not the headquarters but its not a big issue,Booking.com
359,359,customer service team lead,3.0,a high energy global environment. the culture is strongly embraced by the front line team and front line managers.,pay is very low for the market and skill sets being used. multi lingual associates are paid far under market value,Booking.com
360,360,account manager,3.0,travel yearly trip to amsterdam. great for a starting job. get in get some experience enjoy traveling and get out of there.,poor management continually changing priorities nearly impossible to hit bonus targets,Booking.com
361,361,cse,2.0,some great people i meet while working here. learned my lesson about big corporations.,managment is terrible. they changed the way your performance will be rated all the time as they can not even figure out accurate way of tracking the performance for individual agent. quality control tells you you are doing good but if surveys are not coming back positive 83 of the time your out of game. it doesnt really matter if survey was related to you or not. generic answers from tl when you question accuracy of their system. while we were able to promote our own surveys via emails it was easier to get across what this survey is about but that was not in their best interest as they want to keep rotating people and have new employees through manpower so they can cut off the cost of benefits bonuses and salaries. they let go so many people in the last year many of them have been working for long time here and not because they were lazy but simply because managment and qc is lazy to analyze the actual work you do.,Booking.com
362,362,good at frist,2.0,there are lots of travel benefitssuch as annual trips to amsterdam,there is a pretty high turnover rate and there seems to be a burnout rate of 45 years. upper management asks for feedback and input for employees but they really dont want to hear anything other than everyone is happy and everything is great. pay is below industry average,Booking.com
363,363,customer service rep,4.0,good wage for call center. always fresh fruit coffee and hot chocolate free on my shift.,10 hour shifts only had on 30min break would have like to had a one hour break.,Booking.com
364,364,great company to work for good memories,5.0,its been the best time i spent at work,i didnt work long enough to judge,Booking.com
365,365,used to be great now theyre unethical,2.0,great co workers free annual trip to amsterdam beautiful office free fruit and coffee,pay much lower than other companies no communication with regard to new policies coming out rigid numbers oriented. they say they care about the customer but they really dont. example if you work in customer service they send out surveys to the people who call in. the survey asks for the opinion of booking.com but if the customer responds negatively it goes against the last person who worked on the reservation. even if it had nothing to do with the agent. even if they had a complaint about the hotel itself it goes against the agent. no exceptions whatsoever. if you fall below a certain percentage 3 months in a row your job is in jeopardy. for things that have nothing to do with you or how you perform your job. horribly unethical.,Booking.com
366,366,customer service executive,5.0,call hotels around the world,you are micromanaged everything you do is overlooked,Booking.com
367,367,freelance translator,5.0,work from home flexible hours,not a stable source of income,Booking.com
368,368,good 1st time desk job,3.0,awesome coworkers. great training program. you get to learn about hotel and cs side of the business.,management. managers and tl can be helpful however this company is all about the numbers. if you get bad review from the customers it makes your job hard.,Booking.com
369,369,good benefits but weak management,2.0,the company gives great discounts on hotels and good insurance.if you have a good team leader you are lucky but if no...i am sorry,weak management.in our office in bellevue promotions seemed to be approved by one amorous team leader who did not like serious educated not flirty women.this situation gave power to a lot of mediocres and people who do not improve quality in the company but just never argue and do not have their own opinion.quality control in the company is quite unfriendly to employes and only busy with being nice to those who promoted them. very low emotional intelligence is a mark of the company that i have noticed in 2015.,Booking.com
370,370,account executive,3.0,benefits health insurance annual travel,impersonal sterile corporation emphasis people are less important than the bottom line.,Booking.com
371,371,so sad,2.0,a diverse environment with colleagues from around the world. getting to know different cultures. very interesting people.,the pay is horrific for the stress they put you through. a promise made is a promise broken without so much as an im sorry. inexperienced management. people who know who to cuddle up to can rise quickly even without the required knowledge. frequently floor agents know more than the senior agents they have to call for approval. paying bonuses is avoided by raising the bar so you no longer qualify. in this company you have the blind leading the blind. it was so bad only 1 person of our entire class of over 30 is still there. goes to show what kind of work environment it is.,Booking.com
372,372,content editor,3.0,travel leader in online digital content in travel laid back culture education bonus potential,pay slightly low lack of advancement opportunities job does involve much writing anymore become more a sales position,Booking.com
373,373,successful company to work for,4.0,flexibility work from home autonomy creative projects friendly coworkers great culture.,corporate culture has lack of transparency and hidden agendas.,Booking.com
374,374,booking,4.0,it is a great environment people are very supportive... they have health insurance and sometimes they suprise us with food,i worked there for three years and i couldnt find something to write in here ... the only con to me was that it was very far from my home but it is not the companys fault hahaha,Booking.com
375,375,can be rewarding,3.0,nice office company perks bright atmosphere.,high pressure poor communication right hand does not know what the left is doing.,Booking.com
376,376,they try really hard to camouflage the negatives of working here.,3.0,they offer adequate compensation and have very nice benefits including quarterly bonuses. after one year of employment there are a lot opportunities for advancement.,they promise you a schedule in the phone interview and then give you something totally different once youre in training. they are not flexible at all when it comes to the schedule. the training program is 5 weeks long but it doesnt mean much as they change the system so often. there was a major change in the system the day after we were trained on it and all they said was get used to change. there is nothing special about you at booking.com. no matter how hard you work or how high your csat customer satisfaction is you are completely replaceable. the most you get for excelling in csat is a pat on the back and a 25 gift card once in a great while. your employment is solely dependent on your csat score. this is determined by a survey sent to customers via email after contact with you. more often than not your dissatisfied surveys are due to the situation and not your service but there is no way to dispute this. even if the guest leaves a comment that praises the you highly but clicks dissatisfied by mistake it still counts as a negative score. they constantly promote team effort and reiterate how important it is to work with your team but there are no opportunities to do so. every score that affects you directly is individual and the overall team score only affects your team leaders bonus. the senior line is the line that you call when you need help in a situation or a customer requests to speak to the manager. we are constantly told that we call them too much and that we need to look at the procedure guidelines before calling but i sat next to them and i watch them goof off and watch youtube videos all day. finally the team leads. im sure not all of them are as bad as mine but mine was ridiculous. she tells us to call her when we need help but she is never at her desk. in the one on one feedback sessions there was no feedback just the same goal reiterated. before our quarterly review she asked that we tell her what we think our strengths and weaknesses are. on my review she copied and pasted my email to her. literally made me review myself and added nothing to it.,Booking.com
377,377,horrible,1.0,the fitness center which i never used. i guess trips if you get to go and overtime pay if needed.,all bad they are not transparent about being a manpower employees in the initial application then they lie and say you will get hired in then one day just fire you through manpower  end your assignment . dont believe them anything they tell you. favoritism runs high and unprofessional office relationships,Booking.com
378,378,poor management,1.0,the company touts great customer service focus on employees and worklife balance. most employees are nice hard working people that care about each other and the customers. the offices are clean modern and well designed.,the pay is lousy for the work and not at all competitive. there are countless empty promises of career development even if you are a top performer and exceed all metrics. people that have the worst work performance and terrible attitudes get promoted because management likes them. this is a highly political working environment with the best talent quick to leave once they figure out that the poor attitude trickles down from poor top and middle management.,Booking.com
379,379,cse  bellevue. do not do this job with this company.,1.0,training the trainers the recruiters and the other cses. training was truly the greatest part of this whole journey. i joined in march 2015 and in retrospect the only redeeming part of this whole job was my trainer. she got pulled away to help a later class and was pulling crazy hours but still put all of her effort into making sure we had a good experience. that trainer and i have both since left the company but i will always be grateful for her enthusiasm and true love for what she was doing. if i find another training and trainer like that i consider myself very lucky. outside of that the other pros were health insurance options and coverage. the recruiting team is also a class act.,horrible management sycophant team leads and a favoritism system. leadership drives out good people if they find them threatening. there are so many people in this center simply going through the motions. its so obvious that no one here really cares anymore. the number of people leaving is extremely high. no one wants to stay because they are not motivated to stay. the spirit team does little to actually instill spirit and none of the motivating events are actually motivating. people are fake. team leads kiss butt all day every day. most are never at their desk and if they are they are too busy to help you. honestly if you can avoid working here avoid it. if this is only option pay attention in training and be on time to the second.,Booking.com
380,380,customer service executive,3.0,nice coworkers equipment to work is good.,managemen is not good and the job policies neither,Booking.com
381,381,customer service executive,2.0,youll meet a lot of people from different backgrounds and cultures.,favoritism favoritsm favoritsm your performance will not always get you the appreciation you deserve,Booking.com
382,382,great company,4.0,fun team building activities food coffee decent pto bonuses,lack of local opportunity. there are positions in other offices but most of the good ones are overseas and hard to get for visa reasons.,Booking.com
383,383,inconsistent,2.0,great benefits opportunity to meet with great individuals.,inconsistent expectations constant changes favoritism no opportunity to grow in the company,Booking.com
384,384,okay,3.0,frequent changes if youre into that.,too focused on numbers but it is a call center. they change procedures without warning all the time.,Booking.com
385,385,good to see the horrible reviews still exist,1.0,nothing. there is nothing pro about this company.,more than a year later and still my former position is still open. justified that losers still dont have a clue on what a good employee is. a good employee isnt there to kiss butt and gossip. a good employee is there to do their job. now with a better paying job with a healthier atmosphere im not sure how i survived for more than a year working at an insane asylum with managers still coming out of diapers office managers telling lies from another office in another city jealous much and mindless weekly calls about nothing but how to do a job instead of taking that hour and doing the job. oh lest not forget how they set you up with these personality test so they can accuse you of things they claim you are due to a fake test. anyone who really knows the laws of human resources should know that every person has a right to deny such testing without fear or reprisal. im not sure how this company is still surviving with such low ethics. i mean below six feet under. how sad is that anyone who has been fortunate enough to get out of this place now knows the true experience of a professional work environment with employers who know the laws of human resources. i feel sorry for anyone who accepts employment thinking they found a great job with super awesome people. its definitely a cult environment with people trying to escape as soon as they get the chance. you are lucky if they do the escaping for you by letting you go. however i will never forget the terrible and abusive experience i had there.,Booking.com
386,386,favoritism in orlando,2.0,you meet people from different cultures.,ops managers who plays favoritism in the orlando office. constantly shoving in your face how to search the system to see how we can fire someone. does not know how to communicate to others and one particular ops who is always sticking their nose in everything. worst ops managers ever. promote who they want and nominate who they want for awards without sticking to the core values as the team leads are expected too. they are a joke.,Booking.com
387,387,cse the last job on earth you will ever want,3.0,free parking lot free orca for public commuters free fruits free starbucks coffee 8 types of coffee drinks great view from the office bonuses per quarter health benefits allowances for booking hotels on booking.com genius member benefits on booking.com free company trip to headquarter amsterdam fun events potluck games etc. overtime opportunities free tazo teas ping pong table.. if you are stuck looking for a right job for you this is a great position temporarily. at least you have a job until you find one.,starting from what is behind pros of this company free fruits but most of time they are being rotten if you work on weekends you dont get fruits at all sometimes bonuses but your personality have to be approved  by management to get qualified for bonuses after they evaluate it im talking about your personality not your performance so youd better play it right when you get hired opinions can be perceived as negative attitude. oh if you are introverts the management may think you are being unfriendly with your coworkers therefore you may not get bonuses you deserve fun events potluck games etc. but potlucks has to be brought out of your pocket if you do not attend this management may think you are not being friendly with your coworkers. if you bring premade stuff from a store people dont eat them and you are pretty much wasting 1020 bucks just for that event also you still have to work as scheduled overtime opportunities but most of time it is limited please dont count on this. ping pong table but dont get fooled by funenvironmentlookingoffice. when a recruiter shows you around the office. if you want to know if cses are really liking and enjoying their work then talk to them directly. other cons remember this is customer service job after all. yes yes you will encounter very rude people on the phone every single day. i cried on my first day. there are very limited number of promotion changes. lots of people leave at the end very high turnover rate. cse positions are for people who dont have any other job opportunities seriously. everyone at cafeteria talks about how they are looking for other jobs right now. management tells you not to use cellphone on the floor for security purpose to protect customers credit card details but your team leaders are smirking texting god who knows whowhat on their smartphones while you are trying to find a hotel for the guest who just lost their reservation because the hotel was overbooked and needs a room right now. then your team leader will kindly tell you later that you were not being that productive. if one of your colleagues confront your team leader about their cell phones do not expect that our opinion will matter or change the mindset of the management. remember you cannot change a thing when it comes to a management. do not have opinions dont be honest with the management just act as if you are super happy to be there just for your own sake. play cards right. it doesnt matter how hard you are trying to get better at what you do the management will still make you feel like you are not good enough for their team if your numbers are not great. most importantly please do not get sick. i know its almost 2016 and we live in usa but please do not get sick and miss work if you dont want to get terminated once your penalty points are accumulated up to 3. please note your doctors note does not matter.,Booking.com
388,388,dont even do it,1.0,i enjoy working for a company that works in the travelhospitality sector. the pto is pretty great on us standards 23 days although any sick leave is taken out of those days as well. the occasional travel to headquarters in amsterdam can also be nice. the insurance and 401k are ok as well. if you land a role in an upper management position then this could be a good company.,the pay horribly and they have very little focus or attention given to retaining talent. there are also very few career growth opportunities except in the hq in amsterdam but unfortunately europeans are favored for those roles because they do not require relocation or visas. americans are especially less likely to get hired for roles in amsterdam because even though they pay horribly here they pay even less there and americans require higher salaries than locals in amsterdam. all employees are sent to amsterdam for the allcompany meeting in the winter and they tote this as a perk but dont kid yourself  flying across the world for a 2 day event and having to fly directly back and having to spend the majority of those two days in a conference center in windowless rooms granted with a party at the end is no perk at all. morale is also incredibly low especially in the office that i work in but this doesnt seem to be an issue for management as nothing is done to improve the workplace despite having received feedback from employees on what could be improved.,Booking.com
389,389,if you dont need to...dont.,2.0,some great people work at booking.com. quarterly bonus is nice is you qualify for it. the workspace is ergonomic. im struggling here to find many pros.,quarterly bonus is based on metrics that keep changing which wouldnt be a problem except no one in the company has figured out a way to measure the metrics your bonus is based on and the whole process is weighted against you. lots of favoritism from the top down. if you dont play the kiss up game you dont advance in the company. that is the bottom line. very little opportunity for advancement in customer sevice. company demands flexibility and adherence to their policies but is completely inflexible when considering requests for shift modifications..either temporarily or permanently. overtime is often mandated during peak seasons. pay is below standard for the type of job and location. company has no consideration for work life balance and management acts like you ought to be lucky that you even have a job.,Booking.com
390,390,please avoid if you can,1.0,the only pro i can think of is that if you use public transit the local bellevue office offers an orca bus pass.  they do offer hotel reimbursement if you use booking.com to reserve  but thats about it.,consider it slave labor. dont expect anything. youre over worked underpaid and under appreciated. if you bring this up they will let you know they appreciate you with a balloon.  like they did back in kindergarten.  if you use up your break time or personal time you do not get any other time for such things as restroom stops.  they dont offer sick days youre required to take pto  and if you dont have any available you borrow the pto from the future bringing you negative  meaning you have to make it up.  you cant be late or theyll use pto time to make up for that time.  you get written up for everything all the time.  this list goes on.,Booking.com
391,391,customer service executive,4.0,the community and people that work here are great. some of the managers really want to see you grow.,very strict with attendance and not very flexible with scheduling needs.,Booking.com
392,392,corporate company,2.0,love diversity colleagues are wonderful.,no clear procedure unrealistic goals you can get written up without knowing it was something you could get written up forpay is lousy.,Booking.com
393,393,customer service,3.0,food the people the office view,high expectations and low pay.,Booking.com
394,394,have the courage to go elsewhere,2.0,potlucks and small onsite gym. they take you to amsterdam at least once year but you have to work. great benefits.,they post your productivity so if youre not the best they make sure that everyone knows. their call handling time is very unrealistic. this is a high stress job a lot of people that call in are stupid and dont read the policies before they make a reservation. your breaks are very short and scheduled. the team leads do not want to help they want you to deescalate a call so that they dont have to take it. everything is constantly changing and not all of management can agree upon the correct procedure. no cell phones are allowed but you see management on them all of the time. do not be 1 minute late literally they will give you points. they care about how many calls you take and not the quality of handling the call. this job is micro managed and definitely not worth the stress. forget having a life or trying to get time off. the morale is like being in a factory all day except you are at a desk.,Booking.com
395,395,good bad and the ugly.,3.0,lots of training free food bonuses trips to amsterdam for those interested free swag culture. never a dull moment. keeps you on your toes. great for entry customer service gaining skills.,long and tiring hours very little down time or personal time favoritism by management unhappy agents unhappy customers...lots of complaints from people all around the world. its all on your shoulders. promotions are near impossible if youre not a kiss up even if you have consistently shown to be a great employee with high numbers and drive to advance. if youre not a social butterfly say goodbye to ever going anywhere in this company and getting no help. booking.com doesnt feel like a long term place to work. i was there 3 years nearly and had 4 interviews to advance to another position and was constantly turned down. i left because i was tired of the rat race.,Booking.com
396,396,excellent company that places a premium on treating their employees well,4.0,awesome worklife balance great opportunities for growth and learning amazing colleagues all across the world pretty cool perks like travel benefits catered lunch once a week affordable healthcare coverage and a onceayear trip to amsterdam fantastic leadership and one hell of a humble sincere and thoughtful ceo,as far as i can tell the compensation is a little on the lower side of competitive somewhat hectic and confusing right now as the company is changing fairly rapidly job can sometimes be pretty monotonous can be somewhat cliqueish,Booking.com
397,397,bookingsuite,4.0,good atmosphere people speak different languages and get things done. good atmosphere people speak different languages and get things done.,goals arent always clear. a lot of experiments which makes it very flexible,Booking.com
